Time,Zeroed
361.6,-0.2
361.8,-0.35
362,-0.2
362.2,-0.45
362.4,-0.15
362.6,0
362.8,-0.25
363,-0.3
363.2,-0.35
363.4,-0.3
363.6,-0.55
363.8,-0.3
364,-0.35
364.2,-0.25
364.4,-0.35
364.6,-0.25
364.8,-0.55
365,-0.3
365.2,-0.6
365.4,-0.25
365.6,-0.1
365.8,-0.3
366,-0.4
366.2,-0.45
366.4,-0.25
366.6,-0.4
366.8,-0.3
367,-0.35
367.2,-0.15
367.4,-0.35
367.6,-0.05
367.8,-0.35
368,-0.35
368.2,-0.25
368.4,-0.25
368.6,-0.1
368.8,-0.45
369,-0.25
369.2,-0.4
369.4,-0.4
369.6,-0.1
369.8,-0.35
370,-0.2
370.2,-0.05
370.4,-0.35
370.6,-0.4
370.8,-0.6
371,-0.25
371.2,-0.2
371.4,-0.45
371.6,-0.25
371.8,-0.35
372,-0.4
372.2,-0.4
372.4,-0.2
372.6,-0.25
372.8,-0.3
373,-0.35
373.2,-0.15
373.4,-0.1
373.6,-0.25
373.8,-0.2
374,-0.4
374.2,-0.2
374.4,-0.3
374.6,-0.3
374.8,-0.35
375,-0.05
375.2,-0.3
375.4,-0.15
375.6,-0.25
375.8,-0.2
376,-0.35
376.2,-0.25
376.4,-0.55
376.6,-0.4
376.8,-0.4
377,-0.15
377.2,-0.1
377.4,-0.3
377.6,-0.15
377.8,-0.45
378,-0.4
378.2,-0.45
378.4,-0.3
378.6,-0.3
378.8,-0.4
379,-0.2
379.2,-0.2
379.4,-0.15
379.6,-0.35
379.8,-0.4
380,-0.35
380.2,-0.35
380.4,-0.25
380.6,-0.35
380.8,-0.45
381,-0.1
381.2,-0.2
381.4,-0.35
381.6,-0.2
381.8,-0.25
382,-0.45
382.2,-0.2
382.4,-0.15
382.6,-0.35
382.8,-0.25
383,-0.05
383.2,-0.3
383.4,-0.3
383.6,-0.3
383.8,-0.2
384,-0.35
384.2,-0.4
384.4,-0.25
384.6,-0.1
384.8,-0.5
385,-0.35
385.2,-0.35
385.4,0
385.6,-0.4
385.8,-0.35
386,-0.4
386.2,-0.45
386.4,-0.4
386.6,-0.25
386.8,-0.05
387,-0.3
387.2,-0.1
387.4,-0.25
387.6,-0.25
387.8,-0.2
388,-0.2
388.2,-0.25
388.4,-0.3
388.6,-0.35
388.8,-0.35
389,-0.15
389.2,-0.3
389.4,-0.35
389.6,-0.25
389.8,-0.2
390,-0.1
390.2,-0.15
390.4,-0.2
390.6,-0.3
390.8,-0.35
391,-0.35
391.2,-0.35
391.4,-0.5
391.6,-0.15
391.8,-0.2
392,-0.15
392.2,-0.25
392.4,-0.25
392.6,-0.35
392.8,-0.4
393,-0.1
393.2,-0.3
393.4,-0.35
393.6,-0.1
393.8,-0.3
394,-0.05
394.2,-0.3
394.4,-0.35
394.6,-0.1
394.8,-0.3
395,-0.25
395.2,-0.15
395.4,-0.45
395.6,-0.35
395.8,-0.1
396,-0.4
396.2,-0.15
396.4,-0.1
396.6,-0.25
396.8,-0.25
397,-0.2
397.2,-0.4
397.4,-0.25
397.6,-0.55
397.8,-0.15
398,-0.15
398.2,-0.3
398.4,-0.3
398.6,-0.3
398.8,-0.2
399,-0.3
399.2,-0.45
399.4,-0.25
399.6,-0.2
399.8,-0.3
400,-0.65
400.2,-0.35
400.4,-0.25
400.6,-0.15
400.8,-0.35
401,-0.3
401.2,-0.4
401.4,-0.3
401.6,-0.15
401.8,-0.3
402,-0.4
402.2,-0.3
402.4,-0.3
402.6,-0.3
402.8,-0.15
403,-0.35
403.2,-0.3
403.4,-0.3
403.6,-0.4
403.8,-0.15
404,-0.35
404.2,-0.25
404.4,-0.15
404.6,-0.3
404.8,-0.25
405,-0.25
405.2,-0.35
405.4,-0.4
405.6,-0.1
405.8,-0.1
406,-0.45
406.2,-0.35
406.4,-0.05
406.6,-0.35
406.8,-0.25
407,-0.25
407.2,-0.2
407.4,-0.3
407.6,-0.4
407.8,-0.15
408,-0.25
408.2,-0.1
408.4,-0.1
408.6,-0.2
408.8,-0.15
409,-0.2
409.2,-0.2
409.4,-0.45
409.6,-0.1
409.8,-0.2
410,-0.35
410.2,-0.15
410.4,-0.4
410.6,-0.5
410.8,-0.1
411,-0.1
411.2,-0.15
411.4,-0.25
411.6,-0.25
411.8,-0.4
412,-0.35
412.2,-0.15
412.4,-0.5
412.6,-0.15
412.8,-0.3
413,-0.35
413.2,-0.3
413.4,-0.3
413.6,-0.2
413.8,-0.1
414,-0.25
414.2,-0.35
414.4,-0.25
414.6,-0.6
414.8,-0.25
415,-0.45
415.2,-0.35
415.4,-0.2
415.6,-0.2
415.8,-0.25
416,-0.15
416.2,-0.35
416.4,-0.4
416.6,-0.35
416.8,-0.25
417,-0.1
417.2,-0.3
417.4,-0.2
417.6,-0.6
417.8,-0.25
418,-0.15
418.2,-0.2
418.4,-0.1
418.6,-0.45
418.8,-0.2
419,-0.25
419.2,-0.15
419.4,-0.3
419.6,-0.2
419.8,-0.35
420,-0.2
420.2,-0.35
420.4,-0.3
420.6,-0.3
420.8,-0.2
421,-0.15
421.2,-0.25
421.4,-0.3
421.6,-0.15
421.8,-0.35
422,-0.15
422.2,-0.1
422.4,-0.2
422.6,-0.55
422.8,-0.35
423,-0.1
423.2,-0.25
423.4,-0.15
423.6,-0.2
